task,model,execution_model,role,unit,split,dataset,bundle_path,sha256
T2,scGen,scGen,method,D408,C2_lodo_D408,,predictions/C2/C2_LODO__scGen__C2_lodo_D408.npz,bed69764973786d84a2110a07b4db0d8dd325239105305deb61f33deeb98db9f
T2,scGen,scGen,method,D409,C2_lodo_D409,,predictions/C2/C2_LODO__scGen__C2_lodo_D409.npz,b3f92667f6e1b45dadc80f6409007e5a038a6760d9af00a5710538d237c61515
T2,scGen,scGen,method,D410,C2_lodo_D410,,predictions/C2/C2_LODO__scGen__C2_lodo_D410.npz,84587a4e3a8d69d34bc84701bb1c6ca21b770ab2218a89ab8090fb8b5bf55236
T2,scGen,scGen,method,D411,C2_lodo_D411,,predictions/C2/C2_LODO__scGen__C2_lodo_D411.npz,f4793f73e8b08ebb2335f7b348f3d2b7c5bfb9229a86cfca95337291f4f60811
T2,scGen,scGen,method,D412,C2_lodo_D412,,predictions/C2/C2_LODO__scGen__C2_lodo_D412.npz,5ba024cc4c02cbfa72bc6f5c3e53bd4c63cfd56901ee37009e397b4fb5768bf0
T2,scGen,scGen,method,D413,C2_lodo_D413,,predictions/C2/C2_LODO__scGen__C2_lodo_D413.npz,6bab89617546a253360e201067109765ee1c6e51a403a2bd16a31729b692ad8f
T2,scGen,scGen,method,D414,C2_lodo_D414,,predictions/C2/C2_LODO__scGen__C2_lodo_D414.npz,8553d7beeac688d9af6ee2db22f55ee119c12d6c1f773810f734236ae36fd3ad
T2,scGen,scGen,method,D415,C2_lodo_D415,,predictions/C2/C2_LODO__scGen__C2_lodo_D415.npz,8936f393d79f39aac430bdd4ea0d7cb3a07038da51dbfc871a97f4efba102c09
T2,scGen,scGen,method,D416,C2_lodo_D416,,predictions/C2/C2_LODO__scGen__C2_lodo_D416.npz,588b0be701008ede633701edc0d5c7cdf5bd384cd3ecc3b39826c6aff95db21d
T2,scGen,scGen,method,D417,C2_lodo_D417,,predictions/C2/C2_LODO__scGen__C2_lodo_D417.npz,7083fdfebf3a156554f32d43b26a801f2e6053e0c9c9edf379ebddaf375ab0e9
T2,scGen,scGen,method,D418,C2_lodo_D418,,predictions/C2/C2_LODO__scGen__C2_lodo_D418.npz,892efb8ed2c2ba904c9adda9672e1820c01b1abdf40b03a10d6255b624070716
T2,scGen,scGen,method,D419,C2_lodo_D419,,predictions/C2/C2_LODO__scGen__C2_lodo_D419.npz,dcfd66d94e1e727ec9c88670bb43433c33618eae1dc48a089c53fc7f61030343
T2,scGen,scGen,method,D420,C2_lodo_D420,,predictions/C2/C2_LODO__scGen__C2_lodo_D420.npz,1a969c6560228eca4abc11acda23717193e1c20a1bc3f6e30c5176b7d4258346
T2,scGen,scGen,method,D421,C2_lodo_D421,,predictions/C2/C2_LODO__scGen__C2_lodo_D421.npz,719a4980b06764b2f213a21834770d79d43cc9f5f827acd9b676a2572bc2a9bb
T2,scGen,scGen,method,D422,C2_lodo_D422,,predictions/C2/C2_LODO__scGen__C2_lodo_D422.npz,ac45a539fdc532f662581cd5a7e4e33e8446a159a04b27bbdf84c7fd53195069
T2,scGen,scGen,method,D423,C2_lodo_D423,,predictions/C2/C2_LODO__scGen__C2_lodo_D423.npz,003544679b353bd8a4336b5ed1ffc24fd668cd8647a50927be1e523b4da5aa61
T2,scGen,scGen,method,D424,C2_lodo_D424,,predictions/C2/C2_LODO__scGen__C2_lodo_D424.npz,bed042766faab5166cbe7cc570a149a2a06b1084ae96706df5940a5afc79a700
T2,scGen,scGen,method,D425,C2_lodo_D425,,predictions/C2/C2_LODO__scGen__C2_lodo_D425.npz,c9a7e1f661ac64106fd5e6af2b50131711144d11e68d397bfb1ed3efdc38f740
T2,scGen,scGen,method,D426,C2_lodo_D426,,predictions/C2/C2_LODO__scGen__C2_lodo_D426.npz,1213b3ce2fc779d881f56d4b4c45b7262461836d700df91fc4174a5aea4d85e6
T2,scGen,scGen,method,D427,C2_lodo_D427,,predictions/C2/C2_LODO__scGen__C2_lodo_D427.npz,ff485f880f54fc2cf1dcdedaaf55ae576bce8764ffdf53e9e3fe89758a744d86
T2,scGen,scGen,method,D428,C2_lodo_D428,,predictions/C2/C2_LODO__scGen__C2_lodo_D428.npz,10b80c46e1d1c23fe1653c7f526733d3b657e2a1250e764de5ff4f3377a661eb
T2,scGen,scGen,method,D429,C2_lodo_D429,,predictions/C2/C2_LODO__scGen__C2_lodo_D429.npz,1a36864b90603c19cdda63f90d5aa93627fe64f9cf50b7966f01f92415ca0c9e
T2,scGen,scGen,method,D430,C2_lodo_D430,,predictions/C2/C2_LODO__scGen__C2_lodo_D430.npz,093015e7a454073882f79b40d8a5011231b7dad33cf881d37c70baeda927bf8f
T2,scGen,scGen,method,D431,C2_lodo_D431,,predictions/C2/C2_LODO__scGen__C2_lodo_D431.npz,ec42006b9961f9ae07de218b0e7039db3bd23ecb9f3fc8cf9aed174d2b818764
T2,scGen,scGen,method,D432,C2_lodo_D432,,predictions/C2/C2_LODO__scGen__C2_lodo_D432.npz,ac20ab4f4efbfe3dc97989f34f0ac66a9680144badbcfad43a2985a7baefba60
T2,scGen,scGen,method,D433,C2_lodo_D433,,predictions/C2/C2_LODO__scGen__C2_lodo_D433.npz,4be6f762196e912ff829e6748cbc975b4a0ac21900236f5d558ca6c441fea3fd
T2,scGen,scGen,method,D434,C2_lodo_D434,,predictions/C2/C2_LODO__scGen__C2_lodo_D434.npz,5aad183cc045a0545d17520ae711490154e7895d295651f4bec08cfb7ef6530a
T2,scGen,scGen,method,D435,C2_lodo_D435,,predictions/C2/C2_LODO__scGen__C2_lodo_D435.npz,7249ce5ef4864e125432816d9ab4834afb1bbfb023092f782ea5e71ce4eb1438
T2,scGen,scGen,method,D436,C2_lodo_D436,,predictions/C2/C2_LODO__scGen__C2_lodo_D436.npz,2ce3c2ffe93b54a492a6f7c30ca309925b49877234633dd3a2627315e67584d9
T2,scGen,scGen,method,D439,C2_lodo_D439,,predictions/C2/C2_LODO__scGen__C2_lodo_D439.npz,29c06e7f3594af283218529aae7997c7dd7fa1978f40355211798e97938562fe
T2,scGen,scGen,method,D440,C2_lodo_D440,,predictions/C2/C2_LODO__scGen__C2_lodo_D440.npz,86d5d5fdb32be6073cb63b34b6a9ea158187824c1c6c35fffc4ff68cf94a904f
T2,scGen,scGen,method,D441,C2_lodo_D441,,predictions/C2/C2_LODO__scGen__C2_lodo_D441.npz,365b5f1a366505d64522de7926ded177f470d5fe9c41bfe1c48020a9ae277455
T2,scGen,scGen,method,D442,C2_lodo_D442,,predictions/C2/C2_LODO__scGen__C2_lodo_D442.npz,f5572c508e07f5b8bedf9ce80bd860104dfab177090fbea02f20597fbf9737a1
T2,scGen,scGen,method,D443,C2_lodo_D443,,predictions/C2/C2_LODO__scGen__C2_lodo_D443.npz,d7e5e75022fe7e1e55065d62eac16bfc498a06b163ff21f4c3ef3897d9bf466e
T2,scGen,scGen,method,D445,C2_lodo_D445,,predictions/C2/C2_LODO__scGen__C2_lodo_D445.npz,7860c6613fc4a51f1ee077451f7da4820ea6470ca72f2c42f04e1df47ce89174
T2,scGen,scGen,method,D446,C2_lodo_D446,,predictions/C2/C2_LODO__scGen__C2_lodo_D446.npz,1b75b74f342e90094e3ac401ac154488eaa4389bc0f64cdd52c66af70a9e8a55
T2,scGen,scGen,method,D447,C2_lodo_D447,,predictions/C2/C2_LODO__scGen__C2_lodo_D447.npz,bca839b4265fc9f19046ffbf077dcca9e64342a1624f0208910c95c6dd913819
T2,scGen,scGen,method,D448,C2_lodo_D448,,predictions/C2/C2_LODO__scGen__C2_lodo_D448.npz,54608424b9bbdca80021b440e176a155c59223ff08f4748425596d6e48f73191
T2,scGen,scGen,method,D449,C2_lodo_D449,,predictions/C2/C2_LODO__scGen__C2_lodo_D449.npz,45571afefe0947a3fee22fb01f1efd0143181436cbf5f31cdcb83100230cb66d
T2,scGen,scGen,method,D450,C2_lodo_D450,,predictions/C2/C2_LODO__scGen__C2_lodo_D450.npz,c3654f37b7cd170ec136810ba9f3d5537a2f60a0b3b01f661dc29e1824a8738d
T2,scGen,scGen,method,D451,C2_lodo_D451,,predictions/C2/C2_LODO__scGen__C2_lodo_D451.npz,e9bbbf807b8c86f3192c0cccb755a61e9e4412995a504cc65e6f5c99971cb198
T2,scGen,scGen,method,D452,C2_lodo_D452,,predictions/C2/C2_LODO__scGen__C2_lodo_D452.npz,d020b3f63e5a9f4fc03c901fe549dd8a08c6863a9dc3734bfe76a6c1103fb4ba
T2,scGen,scGen,method,D453,C2_lodo_D453,,predictions/C2/C2_LODO__scGen__C2_lodo_D453.npz,87fe846f3ffd67a6b6a9162b839527563c766fe9eed843498a5231f3f699951c
T2,scGen,scGen,method,D454,C2_lodo_D454,,predictions/C2/C2_LODO__scGen__C2_lodo_D454.npz,c4e0ef15abdfae63457bcdf5a509faca70da97cb70937a93610987086d2112ee
T2,scGen,scGen,method,D455,C2_lodo_D455,,predictions/C2/C2_LODO__scGen__C2_lodo_D455.npz,c5ac193116d1ab8b6ac935cca19895d644cb773357c9e3aab4b6e7b335914f7f
T2,scGen,scGen,method,D456,C2_lodo_D456,,predictions/C2/C2_LODO__scGen__C2_lodo_D456.npz,4214d0c3ac6d43f677a0b183185623d3ef20eaa46b544b4d1be01d8a92b4e3d6
T2,scGen,scGen,method,D457,C2_lodo_D457,,predictions/C2/C2_LODO__scGen__C2_lodo_D457.npz,10bb43752e6df3b9e8fddc9ee061da0ecf10713b1097e746578f40f39a703726
T2,scGen,scGen,method,D458,C2_lodo_D458,,predictions/C2/C2_LODO__scGen__C2_lodo_D458.npz,c03d60d6672ea66514849a5e090874df1bd998e1db9234ab7433dda5b0e18997
T2,scGen,scGen,method,D459,C2_lodo_D459,,predictions/C2/C2_LODO__scGen__C2_lodo_D459.npz,6854580e9ed0ac9ead1ea080f472216279a41aef05acfed473232e486f504992
T2,scGen,scGen,method,D460,C2_lodo_D460,,predictions/C2/C2_LODO__scGen__C2_lodo_D460.npz,ceaed2f88bf49d83625c589f5d62b826388c1b05132b467f02be4c7b0a4d9011
T2,scGen,scGen,method,D461,C2_lodo_D461,,predictions/C2/C2_LODO__scGen__C2_lodo_D461.npz,ca49f12cc049073f9360fde65308e646db2f701492886e3ba2d11a2f9c2dc884
T2,scGen,scGen,method,D462,C2_lodo_D462,,predictions/C2/C2_LODO__scGen__C2_lodo_D462.npz,67c4410ce68421a1eba53f1867e6cb7af9fefb8d017038a559b22c84617efda9
T2,scGen,scGen,method,D463,C2_lodo_D463,,predictions/C2/C2_LODO__scGen__C2_lodo_D463.npz,313eddbaedca07a754dec32a781e33e667f2664e94df6975bd93363e362c1c5e
T2,scGen,scGen,method,D464,C2_lodo_D464,,predictions/C2/C2_LODO__scGen__C2_lodo_D464.npz,c17b5c34751d913c9acbc4dd49cf1d21b02cdf44fd08f98105e7aa70a0c1b1cd
T2,scGen,scGen,method,D465,C2_lodo_D465,,predictions/C2/C2_LODO__scGen__C2_lodo_D465.npz,538f74ff4d7a8be3dc5f0e447696694a481f0d4535d6527474029c34496a36e0
T2,scGen,scGen,method,D466,C2_lodo_D466,,predictions/C2/C2_LODO__scGen__C2_lodo_D466.npz,f93725b5dc621f0fe75353e00ce9ab33dc8579514e333c8dacffef40afa7b87e
T2,scGen,scGen,method,D481,C2_lodo_D481,,predictions/C2/C2_LODO__scGen__C2_lodo_D481.npz,7a71ed0ddd3be966a62cabcc71d494e48ed70cf309487f31c975047669453ebd
T2,scGen,scGen,method,D482,C2_lodo_D482,,predictions/C2/C2_LODO__scGen__C2_lodo_D482.npz,04a9fedbe6698ae3dbd18947ba231cb005665ec8890087b4ac3c88f79b8f0ebb
T2,scGen,scGen,method,D483,C2_lodo_D483,,predictions/C2/C2_LODO__scGen__C2_lodo_D483.npz,f71a295674a5fdf49257ab827677c33d27e34757f3a825d3fe9e19611d1b0bef
T2,scGen,scGen,method,D484,C2_lodo_D484,,predictions/C2/C2_LODO__scGen__C2_lodo_D484.npz,c04a4e5f88e80c6d611589e835a192dce0aade22d9f74cf73d5c72bd8f6ab71b
T2,scGen,scGen,method,D485,C2_lodo_D485,,predictions/C2/C2_LODO__scGen__C2_lodo_D485.npz,f0221d3dee1559da43fb7b66e309a7e60beb44fe24d9d726f87c2a9de7e85b56
T2,CellOT,CellOT,method,D348,C2_soskic_LODO_D348,,predictions/C2/C2__CellOT__C2_soskic_LODO_D348.npz,b3aa11c916a9fbb3f4375a3ac19cea5dd08bb7544c0cfe18e4d142ea464220b3
T2,CellOT,CellOT,method,D349,C2_soskic_LODO_D349,,predictions/C2/C2__CellOT__C2_soskic_LODO_D349.npz,57afae3a98881b58a0ea3319ce31a08f8d603831a3d832cddc4afb7fa5f8522d
T2,CellOT,CellOT,method,D350,C2_soskic_LODO_D350,,predictions/C2/C2__CellOT__C2_soskic_LODO_D350.npz,275d02ac69e60e7c2c9932aea2c713bfbf7779b7911484887ae7c593662db86e
T2,CellOT,CellOT,method,D351,C2_soskic_LODO_D351,,predictions/C2/C2__CellOT__C2_soskic_LODO_D351.npz,bb57612dd20801e7f49709c12f54e1b01f86f2b88febfc787e7035a1da8185e5
T2,CellOT,CellOT,method,D352,C2_soskic_LODO_D352,,predictions/C2/C2__CellOT__C2_soskic_LODO_D352.npz,b886049cf0e4bb89819575f6a165c172ae7029255af41fc934daf23bd5576f2d
T2,CellOT,CellOT,method,D353,C2_soskic_LODO_D353,,predictions/C2/C2__CellOT__C2_soskic_LODO_D353.npz,cd660d8eac7846aa08522de2ec8cedc9dd48630a426d7815163d55c0de890fa4
T2,CellOT,CellOT,method,D354,C2_soskic_LODO_D354,,predictions/C2/C2__CellOT__C2_soskic_LODO_D354.npz,b15a53b93a03f716f19ee269d6c528552a723c1b7b493441703fff7b8a4531a2
T2,CellOT,CellOT,method,D355,C2_soskic_LODO_D355,,predictions/C2/C2__CellOT__C2_soskic_LODO_D355.npz,b16e8e03bf8bffc95e4e2e6a8be9f2dff2169e24bd02419b3e6732ec498b8a3b
T2,CellOT,CellOT,method,D356,C2_soskic_LODO_D356,,predictions/C2/C2__CellOT__C2_soskic_LODO_D356.npz,26a41e0f6142b2071b47b400b7fdca1d1c57c0085101d54179bd3db3e22b2ee4
T2,CellOT,CellOT,method,D357,C2_soskic_LODO_D357,,predictions/C2/C2__CellOT__C2_soskic_LODO_D357.npz,36bae17b43343f3de1375741d2481ba2e0d2ee6737992df7bcacbbd893592bce
T2,CellOT,CellOT,method,D358,C2_soskic_LODO_D358,,predictions/C2/C2__CellOT__C2_soskic_LODO_D358.npz,836a755de0f87848d7db1216cd73275de6abd1a2013ef87c2c20ea9dbe9278fd
T2,CellOT,CellOT,method,D359,C2_soskic_LODO_D359,,predictions/C2/C2__CellOT__C2_soskic_LODO_D359.npz,70bb4227a6939f5d99e689412ffa995bb5f807c05b6183cb787ccdd65ffec4e1
T2,CellOT,CellOT,method,D363,C2_soskic_LODO_D363,,predictions/C2/C2__CellOT__C2_soskic_LODO_D363.npz,83f7f1caa2d031b8453241d84eecdd6eb5ebd59170558b367f5555e4adba93fa
T2,CellOT,CellOT,method,D364,C2_soskic_LODO_D364,,predictions/C2/C2__CellOT__C2_soskic_LODO_D364.npz,2022abc042f1f49c33fcc029a93d0350f8ed25282a904e43222111e64229f09a
T2,CellOT,CellOT,method,D365,C2_soskic_LODO_D365,,predictions/C2/C2__CellOT__C2_soskic_LODO_D365.npz,404cf765fdb1a88668eda23c89f05a018ec26b216e7c6c0e1d3f1c757c3dbf60
T2,CellOT,CellOT,method,D366,C2_soskic_LODO_D366,,predictions/C2/C2__CellOT__C2_soskic_LODO_D366.npz,46b7828d2227683261acb8f51038d0f6828c891f5a2086adef46b72fc9e6ed89
T2,CellOT,CellOT,method,D367,C2_soskic_LODO_D367,,predictions/C2/C2__CellOT__C2_soskic_LODO_D367.npz,f9a631583270f6beb3c1de0c4b84ef3ebbdcec09e4231433741d88e445eccabe
T2,CellOT,CellOT,method,D368,C2_soskic_LODO_D368,,predictions/C2/C2__CellOT__C2_soskic_LODO_D368.npz,9135c9426c55a8235f4e9a9782985113cce48de6777f8d4ba96a7b74f561cf39
T2,CellOT,CellOT,method,D369,C2_soskic_LODO_D369,,predictions/C2/C2__CellOT__C2_soskic_LODO_D369.npz,70a45471ce06c013e2880e1174ef4c1665711a9bfc024ce82d3b16c2cb5f3640
T2,CellOT,CellOT,method,D370,C2_soskic_LODO_D370,,predictions/C2/C2__CellOT__C2_soskic_LODO_D370.npz,561f2281a598f5e2d64262c8730d8025f2ce0d5c14d70157cced3928ad5ee487
T2,CellOT,CellOT,method,D371,C2_soskic_LODO_D371,,predictions/C2/C2__CellOT__C2_soskic_LODO_D371.npz,daaec558605f41a2cf071bb065bee50562d61ca1d84c81eea3c574bb9e59aa5b
T2,CellOT,CellOT,method,D372,C2_soskic_LODO_D372,,predictions/C2/C2__CellOT__C2_soskic_LODO_D372.npz,55995d48e6094bc95c8380d11d57d7cfce01e407342decda07c7567a0b9d4b4f
T2,CellOT,CellOT,method,D373,C2_soskic_LODO_D373,,predictions/C2/C2__CellOT__C2_soskic_LODO_D373.npz,8ab3ff0a8f6e8828434d9bf2547f1ca32b10c4dc73885a55edcb3950aa0d1a27
T2,CellOT,CellOT,method,D374,C2_soskic_LODO_D374,,predictions/C2/C2__CellOT__C2_soskic_LODO_D374.npz,38e222ece6d07c40bc076587413cf1f4124d0c60d3128132c385d7dee568bcc2
T2,CellOT,CellOT,method,D378,C2_soskic_LODO_D378,,predictions/C2/C2__CellOT__C2_soskic_LODO_D378.npz,b2eae716effdd6a1611859ddc40526b91dae4ab80e0187b831246443995e2f2b
T2,CellOT,CellOT,method,D379,C2_soskic_LODO_D379,,predictions/C2/C2__CellOT__C2_soskic_LODO_D379.npz,e9d755f5b83f88bfbed3b986e2940b07c912af863baecb02dfefd1ed760f62f0
T2,CellOT,CellOT,method,D380,C2_soskic_LODO_D380,,predictions/C2/C2__CellOT__C2_soskic_LODO_D380.npz,14eb5d6cf7df5e17710d8865a52d8349182e82018ac429f14522cb491df671e7
T2,CellOT,CellOT,method,D381,C2_soskic_LODO_D381,,predictions/C2/C2__CellOT__C2_soskic_LODO_D381.npz,b8bd461dec7244dc0906d4437aad239223e7bbb80f3da3380bd65d4f3fe4000d
T2,CellOT,CellOT,method,D382,C2_soskic_LODO_D382,,predictions/C2/C2__CellOT__C2_soskic_LODO_D382.npz,8aab5d9dc2d48079a856051f5b426a38037dff616161b0016a3a5eff50919a74
T2,CellOT,CellOT,method,D383,C2_soskic_LODO_D383,,predictions/C2/C2__CellOT__C2_soskic_LODO_D383.npz,80f6034d3125445b0eeed0f9b7582a80812b9f5e11cc1a6e07efb71e9e5846bb
T2,CellOT,CellOT,method,D387,C2_soskic_LODO_D387,,predictions/C2/C2__CellOT__C2_soskic_LODO_D387.npz,37623d08d3fa3ec557c5326ea8072561988c643e29628564259907bc84c1994e
T2,CellOT,CellOT,method,D388,C2_soskic_LODO_D388,,predictions/C2/C2__CellOT__C2_soskic_LODO_D388.npz,477c95e4c9b6e5b655555b3d2461671ac010432d0ec829fe001e53958e590951
T2,CellOT,CellOT,method,D389,C2_soskic_LODO_D389,,predictions/C2/C2__CellOT__C2_soskic_LODO_D389.npz,b978198efbf4dd04b3d73aa940d2ca9f276d307c50cab6ce699333f28688b0c6
T2,CellOT,CellOT,method,D390,C2_soskic_LODO_D390,,predictions/C2/C2__CellOT__C2_soskic_LODO_D390.npz,ce72a4ea898ddc5e923cc7ada042bd5ed863aea85650a255a3d80bb33b22e96f
T2,CellOT,CellOT,method,D391,C2_soskic_LODO_D391,,predictions/C2/C2__CellOT__C2_soskic_LODO_D391.npz,16e7c211b3b27539881c460498d5a6d44996a56cb89163ce13557f52f3c20aef
T2,CellOT,CellOT,method,D392,C2_soskic_LODO_D392,,predictions/C2/C2__CellOT__C2_soskic_LODO_D392.npz,b6ab39b92920d7120e7c4b6cc7ef9fccfdf68073e8c4ecaa68e80d97b44b11d6
T2,CellOT,CellOT,method,D393,C2_soskic_LODO_D393,,predictions/C2/C2__CellOT__C2_soskic_LODO_D393.npz,1506839b8d97825816262ca6cc49e48d55959261707caf744f8d2cc3b1695a3e
T2,CellOT,CellOT,method,D394,C2_soskic_LODO_D394,,predictions/C2/C2__CellOT__C2_soskic_LODO_D394.npz,1c239a6d0b3f89419b363738cbb3b3f0d6ffbdb16a56a5164c396467fd3f281d
T2,CellOT,CellOT,method,D395,C2_soskic_LODO_D395,,predictions/C2/C2__CellOT__C2_soskic_LODO_D395.npz,b25043e1e3b774aef4897eb844687ca9ceb532c15aeb94b2d6c33e81cd043fcd
T2,CellOT,CellOT,method,D396,C2_soskic_LODO_D396,,predictions/C2/C2__CellOT__C2_soskic_LODO_D396.npz,ed5d861bc643a0a4c17e29ebb41bd431e75bd1d31267743ddcf9efa86569edac
T2,CellOT,CellOT,method,D397,C2_soskic_LODO_D397,,predictions/C2/C2__CellOT__C2_soskic_LODO_D397.npz,58d2ad9bde72ba0a8a6efd4a3a25267274b0cb7143a5a1826aa434a300b4ccde
T2,CellOT,CellOT,method,D398,C2_soskic_LODO_D398,,predictions/C2/C2__CellOT__C2_soskic_LODO_D398.npz,a42160786c0695140d860d2632a0cc6185c98b8ee93f23ab004bbd2e26a22e68
T2,CellOT,CellOT,method,D405,C2_soskic_LODO_D405,,predictions/C2/C2__CellOT__C2_soskic_LODO_D405.npz,7a841c0b441962224f95c1c08d85eb9285326fff91dcdf0c3580494b01d70b25
T2,CellOT,CellOT,method,D406,C2_soskic_LODO_D406,,predictions/C2/C2__CellOT__C2_soskic_LODO_D406.npz,3d101e3032a07bc547b7c46bf608424a3e3bf88cc7c1b3cb6297f1429ae92173
T2,CellOT,CellOT,method,D407,C2_soskic_LODO_D407,,predictions/C2/C2__CellOT__C2_soskic_LODO_D407.npz,ba578cd7411913bdf7023b23cce0418cc7aa48467431a80f319251b070d01450
T2,CellOT,CellOT,method,D408,C2_soskic_LODO_D408,,predictions/C2/C2__CellOT__C2_soskic_LODO_D408.npz,d85c02ed81ed8546beb3e75951d390da6a1aab6a64895094c0ebf1a11ed3c143
T2,CellOT,CellOT,method,D409,C2_soskic_LODO_D409,,predictions/C2/C2__CellOT__C2_soskic_LODO_D409.npz,f7b71d177533aadbf8c0345ad8bc7aa5ab44cdfb60397907f7d80f8602c8815c
T2,CellOT,CellOT,method,D410,C2_soskic_LODO_D410,,predictions/C2/C2__CellOT__C2_soskic_LODO_D410.npz,ee029ca5fda3d5a69dd06b817031ae9e59581d1ca9e8566168309e3c18bf3235
T2,CellOT,CellOT,method,D411,C2_soskic_LODO_D411,,predictions/C2/C2__CellOT__C2_soskic_LODO_D411.npz,b2e01d8e3c033970bfd0c22bb55d07daf8ce0edc2360f69e463b43b6e860534d
T2,CellOT,CellOT,method,D412,C2_soskic_LODO_D412,,predictions/C2/C2__CellOT__C2_soskic_LODO_D412.npz,f33b145b39fa0a8bebf3694de5720f77bce5c8e0eb7877f7837c1d214452bf80
T2,CellOT,CellOT,method,D413,C2_soskic_LODO_D413,,predictions/C2/C2__CellOT__C2_soskic_LODO_D413.npz,cff48e0d01af33df5920b8550f90be02461877cf130184ef2f0c4102c0d7c883
T2,CellOT,CellOT,method,D414,C2_soskic_LODO_D414,,predictions/C2/C2__CellOT__C2_soskic_LODO_D414.npz,55ccf17237d09429b1e026225210af884811ce053c2432088036c344e5cefecd
T2,CellOT,CellOT,method,D415,C2_soskic_LODO_D415,,predictions/C2/C2__CellOT__C2_soskic_LODO_D415.npz,4044ef0dc1b109f2c5ec58663aa77e7659d05926115f4d3aa988a728be376ace
T2,CellOT,CellOT,method,D416,C2_soskic_LODO_D416,,predictions/C2/C2__CellOT__C2_soskic_LODO_D416.npz,e6ceabfcb80a4acdc347a545a93b2a615155c1d30f0b270f6f8f122697fb9c23
T2,CellOT,CellOT,method,D417,C2_soskic_LODO_D417,,predictions/C2/C2__CellOT__C2_soskic_LODO_D417.npz,68fc4ed3a82c2a25916dc3339c71705c32f3b29abb924804acaf631890b03e74
T2,CellOT,CellOT,method,D418,C2_soskic_LODO_D418,,predictions/C2/C2__CellOT__C2_soskic_LODO_D418.npz,584d1a4bd2780d0864da567dd7930b5f8ace2bdc7b75268b5e3d6a45eeff966d
T2,CellOT,CellOT,method,D419,C2_soskic_LODO_D419,,predictions/C2/C2__CellOT__C2_soskic_LODO_D419.npz,1a28775edfdd4c84e5aed20e14cf49882dd915cc57e89dbad609a52bdcc7bcc0
T2,CellOT,CellOT,method,D420,C2_soskic_LODO_D420,,predictions/C2/C2__CellOT__C2_soskic_LODO_D420.npz,805ad35d38fe07feb38721d1dd56d8d3896a2171f745c58b81df63b9a2393154
T2,CellOT,CellOT,method,D421,C2_soskic_LODO_D421,,predictions/C2/C2__CellOT__C2_soskic_LODO_D421.npz,e462ca8f610b2630a9b5217dec803f1d5a928682fed7ceb09f9701a6aff99c84
T2,CellOT,CellOT,method,D422,C2_soskic_LODO_D422,,predictions/C2/C2__CellOT__C2_soskic_LODO_D422.npz,7fd11d76a519071a8f12d65755bcb8847ed12b7777b6194b5cf60b4ff2b78dbb
T2,CellOT,CellOT,method,D423,C2_soskic_LODO_D423,,predictions/C2/C2__CellOT__C2_soskic_LODO_D423.npz,7bf5368d5cd6792a816c6e27ba8113e9a59c067a45dc0fe5322fafd1e3f5a196
T2,CellOT,CellOT,method,D424,C2_soskic_LODO_D424,,predictions/C2/C2__CellOT__C2_soskic_LODO_D424.npz,3f3cb5931e936aa328bc71a2cd1f5c63118d44b36a96ba5383c65d616d3486ca
T2,CellOT,CellOT,method,D425,C2_soskic_LODO_D425,,predictions/C2/C2__CellOT__C2_soskic_LODO_D425.npz,8b2a653b211ef5289777adfe853bf96a6cf03c56b58cb2766f890fd71be1ad16
T2,CellOT,CellOT,method,D426,C2_soskic_LODO_D426,,predictions/C2/C2__CellOT__C2_soskic_LODO_D426.npz,b47c58f14493602eb07f6767b537daf6c8eaf3b1afee445f4248f807d3d7337c
T2,CellOT,CellOT,method,D427,C2_soskic_LODO_D427,,predictions/C2/C2__CellOT__C2_soskic_LODO_D427.npz,02c9470c5b63bf075a44be772ba58594552ccb03b46160af53b5337bde3a10eb
T2,CellOT,CellOT,method,D428,C2_soskic_LODO_D428,,predictions/C2/C2__CellOT__C2_soskic_LODO_D428.npz,2153f51a2799176c4731940bb84d484a4ae0f746b11b2d6012c15d9a19bb110e
T2,CellOT,CellOT,method,D429,C2_soskic_LODO_D429,,predictions/C2/C2__CellOT__C2_soskic_LODO_D429.npz,4e1d8fef6918f78de7b2300e56ff80de08c9c0afa34230693bd3d64be1b800b9
T2,CellOT,CellOT,method,D430,C2_soskic_LODO_D430,,predictions/C2/C2__CellOT__C2_soskic_LODO_D430.npz,754b234756fdb907e9ffd42ddd55956488ba47db5cde3c52074d630b2b9365b9
T2,CellOT,CellOT,method,D431,C2_soskic_LODO_D431,,predictions/C2/C2__CellOT__C2_soskic_LODO_D431.npz,e6daa4d24b3f7804a1c4a98bbf91ad154c63616cc7fe19b73aa66b4a2f920715
T2,CellOT,CellOT,method,D432,C2_soskic_LODO_D432,,predictions/C2/C2__CellOT__C2_soskic_LODO_D432.npz,f1cea834e90de8bb14343524dd1183a742d9a24c9ab3096f94bc06b67e754547
T2,CellOT,CellOT,method,D433,C2_soskic_LODO_D433,,predictions/C2/C2__CellOT__C2_soskic_LODO_D433.npz,5e3eb08cfc59cdade3832d0bb17bba9b407d13d8971c86e60431b483e8a5d5d6
T2,CellOT,CellOT,method,D434,C2_soskic_LODO_D434,,predictions/C2/C2__CellOT__C2_soskic_LODO_D434.npz,a0b0a7e63aef19b3c132b995d759a81060e5348f07961e020c63b0c739661bae
